FID,NAME,TYPE,YEAR_BUILT,LATITUDE,LONGITUDE
1,George W. Outerbridge,Log,1965,40.782489972,-75.618317351
3,David Lesser Memorial,Log/Lumber,1991,39.227199149,-77.779397757
5,Gren Anderson,Log/Lumber,1958,41.199482622,-74.753050040
7,Brink Road,Log/Lumber,1970,41.153230724,-74.838185881
8,High Point,Stone,0,41.315757754,-74.657673786
10,RPH,Other,0,41.514502858,-73.792808279
12,West Mountain,Stone,0,41.282364328,-74.009636761
14,William Brien Memorial,Stone/Log,0,41.279740799,-74.059728294
15,William Penn,Log/Lumber,1993,40.495584831,-76.414444795
17,Rocky Mountain,Lumber,0,39.868502395,-77.500910542
19,James Fry at Tagg Run,Stick,1998,40.062936661,-77.206432110
21,Alec Kennedy,Lumber,0,40.111761578,-77.104367186
23,Birch Run,Lumber,0,39.985098960,-77.419759719
25,Quarry Gap,Log/Lumber,2003,39.931963269,-77.486690169
27,Antietam,Log/Lumber,0,39.793781215,-77.482881897
29,Tumbling Run,Lumber,0,39.804819940,-77.478375503
30,Peters Mountain,Unknown,0,40.425910000,-76.879650000
31,Tom's Run,Lumber,0,40.033647204,-77.357108991
33,Cove Mountain,Log/Lumber,0,40.363570289,-77.067594468
36,Deer Lick,Lumber,0,39.766124834,-77.485119129
37,Dick's Dome,Lumber,0,38.969664163,-77.997501450
39,Spruce Peak,Log,1984,43.178601006,-72.995685050
40,Riga Lean-to,Log,0,42.015640000,-73.452420000
41,Moose Mountain,Log,2004,43.727215170,-72.149778893
45,Winturri,Other,0,43.662210257,-72.622433438
48,Jeffers Brook,Log,1981,43.996710341,-71.889480399
50,East Branch Lean-to,Log,0,45.596812163,-69.198797900
52,Mount Wilcox South Lean-to,Timber_Frame,0,42.207726741,-73.268755547
53,Mount Wilcox North Lean-to,Log/Lumber,0,42.221100466,-73.250659451
54,Pico Camp,Unknown,0,43.638930000,-72.831500000
55,Brassie Brook,Log,1980,42.028364134,-73.453816672
56,Governor Clement,Stone,1929,43.564670000,-72.848850000
57,Hall Mountain Lean-to,Log,0,44.700836802,-70.825301295
58,Minerva Hinchey,Other,1969,43.487880000,-72.925020000
59,Little Bigelow Lean-to,Log,0,45.139220826,-70.191743285
61,Wilson Valley Lean-to,Log,1993,45.398784720,-69.459833173
64,Greenleaf Hut,Unknown,0,44.160270000,-71.660770000
65,Lonesome Lake Hut,Unknown,0,44.138460000,-71.703650000
66,Congdon,Log/Lumber,1967,42.848096134,-73.110427372
67,Galehead Hut,Unknown,0,44.187810000,-71.569390000
68,Thistle Hill,Log,1995,43.695205587,-72.475829673
70,Mizpah Spring Hut,Unknown,0,44.219340000,-71.370110000
74,Garfield Ridge,Log/Lumber,0,44.190722633,-71.608893678
82,Pierce Pond Lean-to,Log,0,45.240295577,-70.056082006
84,Gentian Pond,Log/Lumber,1974,44.451838687,-71.069941693
134,Bemis Mountain Lean-to,Log,0,44.810246728,-70.756443504
135,Pine Swamp Brook Lean-to,Log,0,41.881730480,-73.392132489
136,Limestone Spring Lean-to,Log,1986,41.975427861,-73.392835971
137,Kay Wood Lean-to,Post_&_Beam,1987,42.452213111,-73.161892816
138,October Mountain Lean-to,Post_&_Beam,1990,42.355002913,-73.154621808
139,Upper Goose Pond Cabin,Stick_w/Lumber_sidng,0,42.288670482,-73.181713637
141,Stony Brook,Stick_w/Lumber_sidng,1997,43.691870162,-72.730765776
142,Seth Warner,Stick_w/Lumber_sidng,1965,42.772158539,-73.137282696
143,Story Spring,Stick_w/Lumber_sidng,0,43.050463031,-73.012923241
144,Kid Gore,Log/Lumber,1971,43.014162314,-73.043415096
145,Goddard,Timber_Frame,2005,42.974103317,-73.072615190
147,Trapper John,Stick_w/Lumber_sidng,0,43.783121998,-72.111920792
148,Fire Warden's Cabin,Stick_w/Lumber_sidng,0,43.825409271,-72.037868984
149,Hexacuba,Log,0,43.876257642,-72.027343816
150,Bald Mountain Brook Lean-to,Log,1994,45.258669419,-69.800117738
151,Moxie Bald Lean-to,Log,0,45.270800808,-69.745854987
152,Carlo Col,Log,1976,44.488703553,-71.016734822
153,Full Goose,Log w/siding,1972,44.525251957,-70.981400398
154,Speck Pond Lean-to,Stick_w/Lumber_sidng,0,44.564777039,-70.974140039
155,Baldpate Lean-to,Log,0,44.598508900,-70.912256382
156,Madison Spring Hut,Stick_w/Lumber_sidng,1888,44.327841743,-71.283794691
