shelter,shelter_id,data_set,lat,lon,type
Flint Mountain Shelter,1,TNL,36.034860,-82.596640,Shelter
Leroy A. Smith Shelter,2,TNL,40.839400,-75.359390,Shelter
Jim & Molly Denton,3,ATC,38.890030,-78.083350,Stick_w/T1_siding
Bailey Gap,4,ATC,37.400890,-80.577230,Post_&_Beam
Moreland Gap,5,ATC,36.220062,-82.088476,Cinder_Block
Carter Gap Shelter (new),6,TNL,34.999020,-83.494080,Shelter
Velvet Rocks Shelter,7,TNL,43.702510,-72.264720,Shelter
Mountaineer Falls,8,ATC,36.220300,-81.985300,Unknown
Goddard Shelter,9,TNL,42.974090,-73.071690,Shelter
Hall Mountain Lean-to,10,TNL,44.700790,-70.824730,Lean-to
Garfield Ridge,11,ATC,44.190723,-71.608894,Log/Lumber
Telephone Pioneers,12,ATC,41.603841,-73.619268,Log/Lumber
Horns Pond Lean-to (west),13,ATC,45.143930,-70.330220,Log/Lumber
Blackrock Hut,14,TNL,38.214260,-78.742940,Hut
Wapiti,15,ATC,37.223814,-80.824306,Log
Tumbling Run,16,ATC,39.804820,-77.478376,Lumber
Double Springs,17,ATC,36.509043,-81.986324,Cinder_Block
Cove Mountain Shelter,18,TNL,37.511630,-79.650710,Shelter
Davenport Gap Shelter,19,TNL,35.769300,-83.123400,Shelter
Minerva Hinchey Shelter,20,TNL,43.487860,-72.924530,Shelter
Birch Run,21,ATC,39.985099,-77.419760,Lumber
Cove Mountain,22,ATC,37.511571,-79.650958,Lumber
Gentian Pond,23,ATC,44.451839,-71.069942,Log/Lumber
Ensign Cowall,24,ATC,39.630991,-77.555970,Log
William Penn Shelter,25,TNL,40.495590,-76.414090,Shelter
Siler Bald Shelter,26,TNL,35.144220,-83.572470,Shelter
Tray Mountain,27,ATC,34.804000,-83.676886,Log/Lumber
Pine Swamp Brook Lean-to,28,TNL,41.881670,-73.391610,Lean-to
Wintturi Shelter,29,TNL,43.662180,-72.621930,Shelter
Sam Moore Shelter,30,TNL,39.090670,-77.886270,Shelter
Seth Warner,31,ATC,42.772159,-73.137283,Stick_w/Lumber_sidng
Davis Path camp,32,TNL,36.914510,-81.376720,Unknown
Groundhog Creek Shelter,33,TNL,35.781840,-83.026320,Shelter
Pochuck Mountain Shelter,34,TNL,41.271260,-74.514920,Shelter
Catawba Mountain Shelter,35,TNL,37.388180,-80.057140,Shelter
Lamberts Meadow Shelter,36,TNL,37.434610,-79.987540,Shelter
Jenkins Shelter,37,TNL,37.093400,-81.247620,Shelter
Deer Park,38,ATC,35.875884,-82.861367,Log
Jim n Molly Denton Shelter,39,TNL,38.890070,-78.083060,Shelter
Vandeventer Shelter,40,TNL,36.367070,-82.058770,Shelter
Cosby Knob Shelter,41,TNL,35.728280,-83.182200,Shelter
Beaver Brook Shelter,42,TNL,44.033040,-71.811320,Shelter
William Brien Memorial Shelter,43,TNL,41.279730,-74.059290,Shelter
Chatfield Memorial,44,ATC,36.849816,-81.363234,Log w/siding
Mt. Algo Lean-to,45,TNL,41.731800,-73.495810,Lean-to
Flint Mountain,46,ATC,36.034770,-82.596780,Unknown
Moreland Gap Shelter,47,TNL,36.220150,-82.088310,Shelter
Walasi-yi Center,48,ATC,34.735070,-83.917880,Other
Wise Shelter,49,TNL,36.654000,-81.498360,Shelter
Alec Kennedy,50,ATC,40.111762,-77.104367,Lumber
Rice Field Shelter,51,TNL,37.374850,-80.758350,Shelter
Poplar Ridge Lean-to,52,TNL,44.970000,-70.445340,Lean-to
Thistle Hill Shelter,53,TNL,43.695180,-72.475320,Shelter
Winturri,54,ATC,43.662210,-72.622433,Other
Eliza Brook,55,ATC,44.100931,-71.742657,Log/Lumber
Stan Murray Shelter,56,TNL,36.112360,-82.065710,Shelter
Little Laurel Shelter,57,TNL,36.015100,-82.735920,Shelter
Clarendon Shelter,58,TNL,43.523540,-72.912570,Shelter
Docs Knob Shelter,59,TNL,37.270310,-80.836150,Shelter
Lamberts Meadow,60,ATC,37.434587,-79.987724,Stone/Log
Madison Spring Hut,61,ATC,44.327842,-71.283795,Stick_w/Lumber_sidng
