shelter,number,lat,lon
"hiawassee, ga- mull's hotel",25606,None,None
"daleville-ho jo xpress",57,None,None
"back in virginia - changes in the trail",78,None,None
"clark's ferry",60,40.392229,-76.99408
"mt. cutler",1,None,None
"county road (vermont!)",34,None,None
"dalton-bascom bunkhouse",273,None,None
"1 mile n. old blue mt.",8,None,None
"damascus (really love this town)",664,None,None
"matts ridge shelter",21,None,None
"hwy 78, heflin, al",2,None,None
"dikinson gap campsite (tarp)",1448,None,None
"hostel at erwin",575,None,None
"west carry pond lean -to",48,None,None
"pine grove furnace-raw hostel",36,None,None
"bold pate lean-to",2,None,None
"northampton, ma",100,None,None
"beyond dennytown road",78,None,None
"pioneer hotel (front royal)",138,None,None
"thunderbolt shelter",20,None,None
"black rock mtn",15,None,None
"gull pond hostel",60,None,None
"campsite, mile 476.7",6,None,None
"south carter mt. summit",10,None,None
"smithland ky",1,None,None
"parkers gap",19,None,None
"rt 17 trailhead (oquossoc me)",5,None,None
"more limbo",1,None,None
"just before keys gap",56,None,None
"shanendoah national park",4,None,None
"maupen field shelter, mp827.1",2,None,None
"idyllic day",4,None,None
"dalton, ma(tom lavardi's)",345,None,None
"cherry creek gap shelter",17,None,None
"raccoon branch campsite",12,None,None
"watson camp shelter",24,None,None
"ensign cornwall shelter (pa)",6,None,None
"calf mountain hut",48,None,None
"silers bald",440,35.564263,-83.568248
"hemlock's leanto",4,None,None
"northshore hostel",12,None,None
"grand prix motel in gatlinburg, tn",892,None,None
"boss twead give's the sneak what for",1,None,None
"plus day",4,None,None
"bringing up the rear...",4,None,None
"damascus (love this town)",4,None,None
"campsite near midpoint marker",72,None,None
"suches,ga",14,None,None
"north of va610",8,None,None
"damascua... again",3,None,None
"iron mtn. campsite to troutdale va",22,None,None
"campsite 1 mile from flint mnt. shelter",2,None,None
"damascus trail days",452,None,None
"moie bald lean-to at at mile 2042.2",8,None,None
"telephonepioneer shelter",6,None,None
"rod hallow shelter, va",4,None,None
"pinnacle peak picnic area",2,None,None
"hiawassee georgia",1,None,None
"mileage adjustment",4,None,None
"us4, inn at long trail",224,None,None
"annapolis rocks",112,None,None
"goldsmith road",63,None,None
"rainbow springs lake",103,None,None
"providence",7,None,None
"dicks creek gap (hiawassee)",260,None,None
"center city living",21,None,None
"minerva hinchey",643,43.48788,-72.92502
"campsite at meadow",12,None,None
"mollies rige shelter",2,None,None
"unnamed woods road",311,None,None
"backpacker camspite 2",1,None,None
"620+ miles",3,None,None
"day 63: 16.7 miles to campsite, trail boss trail",6,None,None
"warm bed",7,None,None
"little rock pond",353,43.398837,-72.955171
"campsite under oak tree",2,None,None
"all the way...to maine!",18,None,None
"a rout and a reunion",6,None,None
"loft mnt. campground",31,None,None
"the folklife center, pipestem, wv",32,None,None
"the inn at long trail/us4",28,None,None
"frank shelter",2,None,None
"boiling spring, pa",2,None,None
"little bigelo lean to",2,None,None
"kinkorra hostel",2,None,None
"hatteras island lighthouse campground",4,None,None
"tenting at crocker cirque campsite",290,None,None
"firewarden's cabin (a shelter)",164,None,None
"mt. cammerer (lookout)",10,None,None
"motel near arcadia, va",4,None,None
"mystic, ct",19,None,None
"tamaqua, pa",2,None,None
"crawford notch (hostel)",476,None,None
"catawaba mountain shelter",2,None,None
"plumborchard shelter",1,None,None
"cascade lodge",29,None,None
"stoney steps",12,None,None
"high rock shelter",4,None,None
"pa 34",59,None,None
"bald mtn. brook lean-to",188,None,None
"big bald summit",5,None,None
"minerva hinchy shelter",14,None,None
"huntig camp creek",1,None,None
"springer mtn. summit",72,None,None
"l smith shelter",1,None,None
"alexandria, va",7,None,None
"south of me 17",251,None,None
"tentsite .5 miles north of billy's view",4,None,None
"helby mill shelter",1,None,None
"the countdown continues...",4,None,None
"camping at the waynesboro ymca",348,None,None
"painter’s branch campsite",2,None,None
"new pictures",3,None,None
"campsite in small box canyon",118,None,None
"ct 55 in ct just north of hoyt rd, ny",2,None,None
"campsite .3 miles after trico side trail",10,None,None
"beaver ponds/killington,vt.",76,None,None
"still in p gurg",1,None,None
"terrapin station hostel, va",40,None,None
"racoon branch shelter",52,None,None
"mollie’s ridge shelter",2,None,None
"mull's motel hiawassee, ga",52,None,None
"more rain and mud",6,None,None
"ny rt. 22",2,None,None
"mtn. mama's",10,None,None
"river road, sherburne pass,vt. (tenting)",362,None,None
"port clinton (motel)",131,None,None
"rich mountain campsite",34,None,None
"cloudland cabin",4,None,None
"tenting near va 608",54,None,None
"rte 7 & 112",14,None,None
"black burn a.t.center (va)",4,None,None
"mountain spring shelter",15,None,None
"campsite next to creek",2,None,None
"roan mountain~ highest shelter on the good ol' at",6,None,None
"still in the vortex",3,None,None
"sharon mountain campsite",78,None,None
"brein memorial shelter",8,None,None
"hosner rd, (bill's house)",6,None,None
"niceville fl",13,None,None
"bear mountain, n. y.",164,None,None
"indian grove gap",2,None,None
"pikes pad",2,None,None
"east flagstaff rd., maine",425,None,None
"somewhere nh",16,None,None
"north of mt rogers park",4,None,None
"nimblewill gap",5,None,None
"frosty mtn",2,None,None
"smarts mtn. tentsite",20,None,None
"mancheter center vt",2,None,None
"hump mountain",11,None,None
